doi,title,year,journal,new_term_hit,relevant,modal,retracted
10.7592/EJHR2024.12.4.928,Creative writing in the hands of artificial intelligence: the analysis of humour in Bard-generated texts,2024,EUROPEAN JOURNAL OF HUMOUR RESEARCH,Bard,Y,N,N
,Challenges and Motivation: Assessing Gemini's Impact on Undergraduate EFL Students in Classroom Settings,2024,World Journal of English Language,Gemini,Y,N,N
10.1016/j.caeo.2025.100302,Grammar and engagement in focus: Evaluating Gemini AI's impact on an educational environment,2025,"COMPUTERS AND EDUCATION OPEN [Ng, Miew Luan] Shinawatra Univ, Fac Educ, Bangkok, Thailand. [Behforouz, Behnam] Univ Technol & Appl Sci, Preparatory Studies Ctr, Shinas, Oman. [Behforouz, Behnam] Sohar Univ, Sohar, Oman. [Al Ghaithi, Ali] Sohar Univ, Fdn Dept, Sohar, Oman. Sohar University AGhaithi@su.edu.om Ali/0000-0002-9653-508X Educational Research",Gemini,Y,N,N
,Using Copilot to Foster Utterance Fluency of Undergraduates: A Multiple Case Study,2025,Call Ej,Copilot,Y,N,N
,Unveiling the Role of Copilot in Enhancing EFL Learners' Writing Skills: A Content Analysis,2025,World Journal of English Language,Copilot,Y,N,N
,Gemini Storybook for Language Teaching and Learning,2025,Childhood Education,Gemini,Y,N,N
,Digital Storytelling with AI Text-to-Image: A Creative Path to Vocabulary Retention,2025,Call Ej,text-to-image,Y,Y,N
10.26858/ijole.v10i1.83711,Students' Perceptions on the Digital Literacy and Writing Skills Using Local Indigenous Poem: Google Gemini Interactive Multimedia Approach,2026,"IJOLE-INTERNATIONAL JOURNAL OF LANGUAGE EDUCATION digital literacy; writing skills [Ardila, Rahmatia] Sekolah Tinggi Pariwisata Soromandi Bima, Bima, Indonesia. ardilarahmasarbini@gmail.com; mulyatiruslan77@gmail.com; indrakaleo72@gmail.com Higher Education, Science, and Technology [0419/C3/DT.05.00/2025, 129/C3/DT.05.00/PL/2025] Community Service (DPPM) , Ministry of Higher Education, Science, and Technology with Decree Number 0419/C3/DT.05.00/2025 and Agreement/Contract Number 129/C3/DT.05.00/PL/2025 which has provided support in the form of 100% research fund assistance so that the entire process of research activities is carried out properly. 90224, INDONESIA",Gemini,Y,N,N
,Pedagogical Mediation Through Prompt Engineering: An Expert Evaluation of AI-Generated Feedback on Islamic-Integrated EFL Argumentative Writing,2026,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,AI-gen feedback,Y,N,N
10.24093/awej/vol17no1.25,Enhancing Engineering Students' English-Speaking Skills via Role-plays through Google Gemini 2.5 Flash in Practice and CEFR in Assessment in a Blended Learning Modality,2026,"ARAB WORLD ENGLISH JOURNAL Reference for Languages; Gemini 2.5 Flash; role plays; speaking skills [Manipatruni, Venkata Ramana; Chundru, Tanuja] Sri Vasavi Engn Coll, Dept English, Tadepalligudem, Andhra Prades, India. [Kumar, Nannapaneni Siva; Chundru, Tanuja] Siddhartha Acad Higher Educ, Velagapudi Ramakrishna Siddhartha Sch Engn, Dept English, Vijayawada 520007, Andhra Prades, India. [Karim, Mohammad Rezaul] Prince Sattam Bin Abdulaziz Univ, Coll Sci & Humanities, Slayel, Saudi Arabia. Siddhartha Academy of Higher Education; Prince Sattam Bin Abdulaziz University dr.sivakumar.n@gmail.com; karimrezaul318@gmail.com; chtanusurya@gmail.com Mohammad/ABI-7334-2022; Chundru, Tanuja/GLR-4920-2022; Nannapaneni, Siva/AAD-2169-2019",Gemini,Y,N,N
,The Overdependence on Grok as an AI Tool in English Language Learning,2026,Overdependence on AI in Academia,Grok,Y,N,N
