id	label	weight<Occurrences>	score<Avg. year>
1	Kohnke L, 2023, RELC J	308	
2	Kasneci E, 2023, LEARN INDIVID DIFFER	243	
3	Barrot JS, 2023, ASSESS WRIT	235	
4	Huang WJ, 2022, J COMPUT ASSIST LEAR	220	
5	Yan D, 2023, EDUC INF TECHNOL	202	
6	Su YF, 2023, ASSESS WRIT	169	
7	Braun V., 2006, Qual Res Psychol	152	
8	Song CP, 2023, FRONT PSYCHOL	139	
9	Liu GX, 2024, INNOV LANG LEARN TEA	138	
10	Guo K, 2024, EDUC INF TECHNOL	136	
11	DAVIS FD, 1989, MIS QUART	121	
12	Jeon J, 2024, COMPUT ASSIST LANG L	117	
13	Mohamed AM, 2024, EDUC INF TECHNOL	114	
14	Mizumoto A, 2023, RES METH APPL LIN-UK	113	
15	Escalante J, 2023, INT J EDUC TECHNOL H	104	
16	Xiao YY, 2023, LANGUAGES-BASEL	104	
17	Liu GL, 2025, COMPUT ASSIST LANG L	100	
18	Fryer LK, 2019, COMPUT HUM BEHAV	99	
19	Fryer LK, 2020, LANG LEARN TECHNOL	97	
20	Jeon J, 2023, EDUC INF TECHNOL	96	
21	Jurgen R., 2023, Journal of Applied Learning and	94	
22	Law L, 2024, COMPUT EDUC OPEN	91	
23	Yang H, 2022, RECALL	87	
24	Huang XY, 2023, EDUC TECHNOL SOC	86	
25	Farrokhnia M, 2024, INNOV EDUC TEACH INT	84	
26	Steiss J, 2024, LEARN INSTR	83	
27	Zawacki-Richter O, 2019, INT J EDUC TECHNOL H	82	
28	Warschauer M, 2023, J SECOND LANG WRIT	82	
29	Fathi J, 2024, SYSTEM	82	
30	Fryer L, 2006, LANG LEARN TECHNOL	80	
31	Brown TB, 2020, ADV NEUR IN	79	
32	Braun V., 2006, Qualitative Research in Psycholo	79	
33	Cotton DRE, 2024, INNOV EDUC TEACH INT	79	
34	Marzuki, 2023, COGENT EDUC	78	
35	Fryer LK, 2017, COMPUT HUM BEHAV	76	
36	Mahapatra S, 2024, SMART LEARN ENVIRON	75	
37	Hong W. C. H., 2023, J ED TECHNOLOGY INNO	74	
38	Ali J. K. M., 2023, J ENGLISH STUDIES AR	74	
