label	replace by
ai	artificial intelligence
artificial intelligence (ai)	artificial intelligence
call	computer-assisted language learning
chat gpt	chatgpt
chat-gpt	chatgpt
chatbots	chatbot
computer assisted language learning	computer-assisted language learning
conversational agents	conversational agent
english as a foreign language	efl
english as a foreign language (efl)	efl
english as a second language	esl
genai	generative artificial intelligence
generative ai	generative artificial intelligence
generative ai (genai)	generative artificial intelligence
generative artificial intelligence (ai)	generative artificial intelligence
intelligent tutoring system	intelligent tutoring systems
large language model	large language models
large language models (llms)	large language models
llm	large language models
llms	large language models
nlp	natural language processing
openai chatgpt	chatgpt
sla	second language acquisition
student perception	student perceptions
